Sl. No,Name,Genre,Language,Price,Broadcaster,Image
409,CALCUTTA NEWS,NEWS,Bengali,0,CALCUTTA TELEVISION NETWORK PRIVATE LIMITED,"""Channellogo/logo/CALCUTTANEWSEarlierUTTARBANGLAAKDCBANGLA.jpg"" "
410,CALVARY TV,NON-NEWS,Other/Multi,0,CHRISTU KRUPA BROADCASTING PVT LTD,"""Channellogo/logo/CALVARYTV.jpg"" "
411,CAPTAIN NEWS,NEWS,Tamil English,0,CAPTAIN MEDIA PRIVATE LIMITED,"""Channellogo/logo/CAPTAINNEWS.jpg"" "
412,CAPTAIN TV,NEWS,Tamil English,0,CAPTAIN MEDIA PRIVATE LIMITED,"""Channellogo/logo/CAPTAINTV.jpg"" "
413,CARE WORLD,NON-NEWS,Hindi,0,SEVEN STAR SATELLITE PRIVATE LIMITED,"""Channellogo/logo/CAREWORLD.jpg"" "
414,Cauvery News,NEWS,Tamil,0,Cauvery Power Trading Chennai Pvt. Ltd,"""Channellogo/logo/CauveryNews.jpg"" "
415,CGTN,NEWS,English,0,PLANETCAST MEDIA SERVICES LIMITED (EARLIER: ESSEL SHYAM COMMUNICATION LIMITED&nbsp;),"""Channellogo/logo/CGTNEarlierCCTVNEWS.jpg"" "
416,CHANNEL 2,NEWS,Punjabi Hindi English Other/Multi,0,CHANNEL NO 2 NEWS MEDIA PVT LTD,"""Channellogo/logo/CHANNEL2.jpg"" "
417,CHANNEL NEWS ASIA INTERNATIONAL,NEWS,English,0,MCN INTERNATIONAL INDIA PVT LTD.,"""Channellogo/logo/CHANNELNEWSASIAINTERNATIONAL.jpg"" "
418,CHANNEL NO.1,NEWS,Punjabi Hindi English,0,PAL NEWS MEDIA PRIVATE LIMITED,"""Channellogo/logo/CHANNELNO1.jpg"" "
419,Channel win,NON-NEWS,Hindi English Other/Multi,0,WIN TV PRIVATE LIMITED,"""Channellogo/logo/Channelwin.jpg"" "
420,CHARDIKALA TIME TV,NEWS,Punjabi English Other/Multi,0,CHARHDIKALA PUBLICATIONS PRIVATE LIMITED,"""Channellogo/logo/CHARDIKALATIMETV.jpg"" "
421,Chitrapat Marathi,NEWS,Hindi English Other/Multi,0,YASH TELE NETWORK PRIVATE LIMITED,"""Channellogo/logo/ChitrapatMarathiEarlierPEARLSNEWSMADHYAPRADESHCHATITISGARHearlierPEARLSKANNADA.jpg"" "
422,Cinema TV,NON-NEWS,Hindi,0,SOFTLINE CREATION PRIVATE LIMITED,"""Channellogo/logo/CinemaTVearlierIshwarSadhnaHealth.jpg"" "
423,CTVN-AKD-PLUS,NEWS,Bengali,0,CALCUTTA TELEVISION NETWORK PRIVATE LIMITED,"""Channellogo/logo/CTVNAKDPLUS.jpg"" "
424,CUSINE TV,NEWS,English,0,DIKSAT TRANSWORLD LIMITED,"""Channellogo/logo/CUSINETV.jpg"" "
425,CVR Health,NEWS,Telugu English Hindi Kannada Tamil Malayalam,0,IMAGE BROADCASTING INDIA PRIVATE LIMITED,"""Channellogo/logo/CVRHealth.jpg"" "
426,CVR News,NEWS,Telugu English Hindi Kannada Tamil Malayalam,0,IMAGE BROADCASTING INDIA PRIVATE LIMITED,"""Channellogo/logo/CVRNews.jpg"" "
427,CVR News English,NEWS,Hindi English Other/Multi,0,IMAGE BROADCASTING INDIA PRIVATE LIMITED,"""Channellogo/logo/CVRNewsEnglish.jpg"" "
428,CVR Spiritual Om,NON-NEWS,Hindi English Other/Multi,0,IMAGE BROADCASTING INDIA PRIVATE LIMITED,"""Channellogo/logo/CVRSpiritualOm.jpg"" "
429,DABANGG,NON-NEWS,Hindi,0,HHP BROADCASTING SERVICES PRIVATE LIMITED,"""Channellogo/logo/DABANGG.jpg"" "
430,Dangal,NON-NEWS,Hindi English,0,ENTER 10 TELEVISION PRIVATE LIMITED,"""Channellogo/logo/DangalearlierENTER10MOVIES.jpg"" "
431,DARSHAN 24,NON-NEWS,English Hindi,0,E24 Glamour Ltd. (Earlier known as B.A.G. GLAMOUR LIMITED),"""Channellogo/logo/DARSHAN24EarlierLIFE24.jpg"" "
432,DARSHANA,NON-NEWS,Malayalam,0,SATHYA DHARA COMMUNICATION PVT LTD,"""Channellogo/logo/DARSHANA.jpg"" "
433,DAY N NIGHT NEWS,NEWS,Punjabi Hindi English,0,JSK MULTI PRODUCTS PVT. LTD. (earlier KANSAN NEWS PRIVATE LIMITED),"""Channellogo/logo/DAYNNIGHTNEWS.jpg"" "
434,DHAMAAL,NON-NEWS,Hindi,0,UBJ BROADCASTING PRIVATE LIMITED,"""Channellogo/logo/DHAMAAL.jpg"" "
435,DHAMMAL GUJJUU,NON-NEWS,Gujarati,0,SAB GLOBAL ENTERTAINMENT MEDIA PVT. LTD.,"""Channellogo/logo/DHAMMALGUJJUU.jpg"" "
436,DHANSU,NON-NEWS,Hindi English Other/Multi,0,TELEONE CONSUMERS PRODUCT PVT. LTD.,"""Channellogo/logo/DHANSUEARLIERMAHACARTOONTVEARLIERTELESHOP.jpg"" "
437,DHEERAN TV,NON-NEWS,Hindi,0,SAANVI STUDIOZ LIMITED,"""Channellogo/logo/DHEERANTVARADHANA.jpg"" "
438,DHOOM MUSIC BANGLA,NON-NEWS,Bengali,0,BRAND VALUE COMMUNICATIONS PRIVATE LIMITED,"""Channellogo/logo/DHOOMMUSICBANGLA.jpg"" "
439,DIGHVIJAY TV 24X 7 NEWS,NEWS,Hindi English Kannada Other/Multi,0,VRL MEDIA LIMITED,"""Channellogo/logo/DIGHVIJAYTV24X7NEWSEARLIERDIGHVIJAYTV.jpg"" "
440,DILLAGIII,NON-NEWS,Hindi,0,KRISHNA SHOWBIZ SERVICES PVT. LTD.,"""Channellogo/logo/DILLAGIII.jpg"" "
441,DISHA NEWS CHANNEL,NEWS,Hindi Punjabi English Other/Multi,0,DISHA MEDIA PVT. LTD. (earlier DHALIWAL ENTERTAINMENT PVT LTD),"""Channellogo/logo/DISHANEWSCHANNELEarlierknownasDHALIWALTV.jpg"" "
442,DIVYA,NON-NEWS,Hindi Punjabi English Urdu,0,DIVYA BROADCASTING NETWORK PRIVATE LIMITED,"""Channellogo/logo/DIVYA.jpg"" "
443,DNN,NEWS,Hindi,0,DILIP BUILDCON PRIVATE LIMITED,"""Channellogo/logo/DNN.jpg"" "
444,Dream TV,NON-NEWS,Other/Multi,0,Squoosh Entertainment Pvt. Ltd.,"""Channellogo/logo/DreamTVEarlierFataFati.jpg"" "
445,DSPORT HD,NON-NEWS,English Hindi Other/Multi,0,DISCOVERY COMMUNICATION LIMITED,"""Channellogo/logo/DSPORTHD.jpg"" "
446,DW TV,NEWS,German English,0,CABSAT CHANNEL PRIVATE LIMITED,"""Channellogo/logo/DWTV.jpg"" "
447,DY 365,NEWS,Assamese Hindi English,0,BRAHMAPUTRA TELE-PRODUCTIONS PRIVATE LIMITED,"""Channellogo/logo/DY365.jpg"" "
448,E 24,NON-NEWS,English Hindi,0,E24 Glamour Ltd. (Earlier known as B.A.G. GLAMOUR LIMITED),"""Channellogo/logo/E24.jpg"" "
449,EDU TV,NON-NEWS,English Hindi Other/Multi,0,MEDIA GURU BROADCAST PVT LTD,"""Channellogo/logo/EDUTV.jpg"" "
450,Enter 10 Bangla,NON-NEWS,Other/Multi,0,ENTER 10 TELEVISION PRIVATE LIMITED,"""Channellogo/logo/Enter10Bangla.jpg"" "
451,ENTERR 10,NON-NEWS,Hindi English,0,ENTER 10 TELEVISION PRIVATE LIMITED,"""Channellogo/logo/ENTERR10.jpg"" "
452,Euro News,NEWS,French English German Spanish Italian Portuguese Russian Arabic,0,CATVISION LTD. (Earlier CATVISION PRODUCTS LTDatvision Ltd.,"""Channellogo/logo/EuroNews.jpg"" "
453,EXPRESS TV,NEWS,Other/Multi,0,J.S.D. DATA INFOTECH PRIVATE LIMITED,"""Channellogo/logo/EXPRESSTV.jpg"" "
454,FAKT MARATHI,NON-NEWS,Other/Multi,0,ENTER 10 TELEVISION PRIVATE LIMITED,"""Channellogo/logo/FAKTMARATHIEarlierAAPLATALKIESItsCINEMALUCKTV.jpg"" "
455,FIRST INDIA,NEWS,Bengali Bhojpuri Hindi English,0,MAHUAA MEDIA PRIVATE LIMITED,"""Channellogo/logo/FIRSTINDIAEARLIERKNOWNASMAHUAAKHOBOR.jpg"" "
456,FLOWERS,NON-NEWS,Hindi English,0,Suryansh Broadcasting Pvt. Ltd.,"""Channellogo/logo/FLOWERSSuryanshMelody.jpg"" "
457,FM NEWS,NEWS,Hindi English,0,VINTAGE STUDIO PVT LTD,"""Channellogo/logo/FMNEWSEARLIERLIVINGINDIAAYURLIVINGINDIA.jpg"" "
458,FRANCE 24,NEWS,French,0,CATVISION LTD. (Earlier CATVISION PRODUCTS LTDatvision Ltd.,"""Channellogo/logo/FRANCE24.jpg"" "
459,Free TV,NON-NEWS,Hindi English Other/Multi,0,INFORMATION TV PRIVATE LIMITED,"""Channellogo/logo/FreeTV.jpg"" "
460,FRONTIER TV,NEWS,Hindi,0,PRIYAMDA MEDIA &amp; INFOTAINMENT PRIVATE LIMITED,"""Channellogo/logo/FRONTIERTV.jpg"" "
461,FTV.COM INDIA,NON-NEWS,English,0,NEON SOLUTION PVT. LTD,"""Channellogo/logo/FTVCOMINDIA.jpg"" "
462,G7 SPV,NON-NEWS,Malayalam Hindi Tamil Kannada Telugu,0,SPV Communications India Ltd.,"""Channellogo/logo/G7SPVEarlierknownasBTV.jpg"" "
463,Gemporia,NON-NEWS,Hindi English Other/Multi,0,PINKCITY JEWEL HOUSE PVT. LTD.,"""Channellogo/logo/GemporiaearlierJEWELALLIANCE.jpg"" "
464,GOD TV,NON-NEWS,English Hindi Tamil,0,ANGEL MEDIA NETWORK PVT LTD,"""Channellogo/logo/GODTV.jpg"" "
465,GOODNESS TV,NON-NEWS,Malayalam English,0,GOODNESS MEDIA PVT LTD,"""Channellogo/logo/GOODNESSTV.jpg"" "
466,GoodNews TV,NON-NEWS,English,0,GOOD NEWS CHANNEL PRIVATE LIMITED,"""Channellogo/logo/GoodnewsTV.jpg"" "
467,GRACE TV,NON-NEWS,Other/Multi,0,ESSENCE TELEVISION PVT.LTD.,"""Channellogo/logo/GRACETVEarlierPHENOTVNEWSMAKERS.jpg"" "
468,Green TV,NON-NEWS,Hindi English Other/Multi,0,Nomad Films Ltd.,"""Channellogo/logo/GreenTV.jpg"" "
469,GSTV,NEWS,Gujarati Marathi Hindi English Other/Multi,0,Shreyarth Aaspas Limited (earlier Aaspas Multimedia Ltd.),"""Channellogo/logo/GSTVEarierAASPASTV.jpg"" "
470,GULISTAN NEWS,NEWS,Hindi English Punjabi Other/Multi,0,GULISTAN TV NETWORK PRIVATE LIMITED,"""Channellogo/logo/GULISTANNEWS.jpg"" "
471,GYANA YOGI,NON-NEWS,Tamil English Hindi Other/Multi,0,YOGI NETWORKS LTD.(EARLIER: BRINDAVAN TELEVISION NETWORK LIMITED),"""Channellogo/logo/GYANAYOGIEarlierBRINDAVANTV.jpg"" "
472,HARVEST TV,NEWS,Hindi English Other/Multi,0,VEECON MEDIA AND BROADCASTING PVT LTD,"""Channellogo/logo/HARVESTTVEARLIERSHRIS7NEWSEARLIERVEENEWS.jpg"" "
473,HBC NEWS,NEWS,Hindi English Other/Multi,0,HINDUSTAN BROADCASTING COMPANY PRIVATE LIMITED,"""Channellogo/logo/HBCNEWS.jpg"" "
474,HBN,NON-NEWS,Hindi Malayalam Tamil English,0,HBN Network Private Limited (Earlier TELEBRANDS INDIA PRIVATE LIMITED),"""Channellogo/logo/HBN.jpg"" "
475,Hindi Khabar,NEWS,Hindi,0,Landmark Apartment Pvt. Ltd.,"""Channellogo/logo/HindiKhabarEarlierIWitness.jpg"" "
476,Hindu Dharmam,NON-NEWS,Telugu,0,Shreya Broadcasting Pvt. Ltd,"""Channellogo/logo/HinduDharmam.jpg"" "
477,History TV 18 Tamil,NON-NEWS,Tamil English Other/Multi,0,AETN 18 Media Pvt. Ltd,"""Channellogo/logo/HistoryTV18Tamil.jpg"" "
478,HM TV,NEWS,Telugu Hindi English Other/Multi,0,HYDERABAD MEDIA HOUSE LIMITED,"""Channellogo/logo/HMTV.jpg"" "
479,HNN 24x7,NEWS,Hindi English Punjabi Other/Multi,0,YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,"""Channellogo/logo/HNN24x7earlierHindustanNewsEarlierGETPUNJABINEWSCHAKRA.jpg"" "
480,HOLIDAYZ,NON-NEWS,Hindi English Other/Multi,0,MEDIA NETWORK BROADCASTING PVT LTD,"""Channellogo/logo/HOLIDAYZ.jpg"" "
481,HOME SHOP 18,NON-NEWS,Hindi English,0,TV 18 HOME SHOPPING NETWORK PVT LTD,"""Channellogo/logo/HOMESHOP18.jpg"" "
482,HOPE TV,NON-NEWS,English Tamil Hindi Telugu Malayalam Kannada,0,NOIDA SOFTWARE TECHNOLOGY PARK LTD.,"""Channellogo/logo/HOPETV.jpg"" "
483,Housefull Action,NON-NEWS,Hindi,0,9X MEDIA PRIVATE LIMITED,"""Channellogo/logo/HousefullActionearlier9XBAJAOEarlier9XBAJAAO9XBANGLA.jpg"" "
484,HOUSEFULL MOVIES,NON-NEWS,Hindi Other/Multi,0,VISION CORPORATION LIMITED,"""Channellogo/logo/HOUSEFULLMOVIESEARLIERVISIONTVVISIONTVMUSIC.jpg"" "
485,I NEWS,NEWS,Telugu English Hindi Other/Multi,0,SAURABH INTERNATIONAL PRIVATE LIMITED,"""Channellogo/logo/INEWS.jpg"" "
486,I PLUS TV,NON-NEWS,Hindi Punjabi English,0,KDM MEDIA PRIVATE LIMITED,"""Channellogo/logo/IPLUSTVEarlierSHAKTITV.jpg"" "
487,IBC 24,NEWS,Hindi,0,S.B.MULTIMEDIA PVT. LTD.,"""Channellogo/logo/IBC24earlierZEE24GHANTECHATTISGARH.jpg"" "
488,IMAYAM TV,NEWS,Tamil English Other/Multi,0,CHANNEL BHARAT ENTERTAINMENT PRIVATE LIMITED,"""Channellogo/logo/IMAYAMTV.jpg"" "
489,IMN NEWS,NEWS,English Hindi,0,DIRECT NEWS PRIVATE LIMITED (Earlier INX NEWS PRIVATE LIMITED),"""Channellogo/logo/IMNNEWSNEWSX.jpg"" "
490,IN- SYNC,NON-NEWS,Hindi English,0,PERFECT-OCTAVE MEDIA PROJECTS LIMITED,"""Channellogo/logo/INSYNC.jpg"" "
491,IND 24,NEWS,Hindi English Other/Multi,0,ARPAN MEDIA PRIVATE LIMITED,"""Channellogo/logo/IND24earlierLiveIndiaKannadaNEWSSUPERFAST.jpg"" "
492,INDIA AHEAD,NEWS,English Other/Multi,0,ANDHRAPRABHA PUBLICATIONS LIMITED,"""Channellogo/logo/INDIAAHEADEARLIERBHAARATTODAYBHARATTODAYEarlierYOURNEWS.jpg"" "
493,India News,NEWS,Hindi English Other/Multi,0,INFORMATION TV PRIVATE LIMITED,"""Channellogo/logo/IndiaNews.jpg"" "
494,India News Haryana,NEWS,Hindi,0,INFORMATION TV PRIVATE LIMITED,"""Channellogo/logo/IndiaNewsHaryana.jpg"" "
495,India News Madhya Pradesh Chattisgarh,NEWS,Hindi Other/Multi,0,INFORMATION TV PRIVATE LIMITED,"""Channellogo/logo/IndiaNewsMadhyaPradeshChattisgarh.jpg"" "
496,India News Punjab,NEWS,Hindi English Other/Multi,0,INFORMATION TV PRIVATE LIMITED,"""Channellogo/logo/IndiaNewsPunjab.jpg"" "
497,India News Rajasthan,NEWS,Hindi Other/Multi,0,INFORMATION TV PRIVATE LIMITED,"""Channellogo/logo/IndiaNewsRajasthan.jpg"" "
498,India News Uttar Pradesh-Uttarakhand,NEWS,English Hindi,0,INFORMATION TV PRIVATE LIMITED,"""Channellogo/logo/IndiaNewsUttarPradeshUttarakhand.jpg"" "
499,INDIA TV,NEWS,English Hindi,0,INDEPENDENT NEWS SERVICE PVT. LTD,"""Channellogo/logo/INDIATV.jpg"" "
500,INDIA TV WIZ,NEWS,English Hindi,0,INDEPENDENT NEWS SERVICE PVT. LTD,"""Channellogo/logo/INDIATVWIZ.jpg"" "
501,India Voice,NEWS,English Hindi Assamese Bengali Khasi Bodo Manipuri Nagamese,0,SENTINEL BROADCASTING PVT LTD,"""Channellogo/logo/IndiaVoiceEarlierSENTINELNEWS.jpg"" "
502,India Watch,NEWS,Hindi English Other/Multi,0,FUTURE VISION BROADCAT PRIVATE LIMITED,"""Channellogo/logo/IndiaWatchearlierINDIANOWEarlierINELIVE.jpg"" "
503,Indian fashion TV,NON-NEWS,Hindi,0,VISION CORPORATION LIMITED,"""Channellogo/logo/IndianfashionTV.jpg"" "
504,INDRADHANU,NON-NEWS,Hindi English Other/Multi,0,PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,"""Channellogo/logo/INDRADHANU.jpg"" "
505,INH 24x7,NEWS,Hindi English Other/Multi,0,Bhole Baba Real Estate Developers Pvt. Ltd.,"""Channellogo/logo/INH24x7earlierINDIANCRIMEEarlierNAVJAGRITINSNNews.jpg"" "
506,ISHWAR BHAKTI,NON-NEWS,Hindi English Other/Multi,0,VARUN MEDIA PRIVATE LIMITED,"""Channellogo/logo/ISHWARBHAKTIEARLIERSUKHSAGAR.jpg"" "
507,JAI HIND,NEWS,Malayalam,0,BHARAT BROADCASTING NETWORK LIMITED,"""Channellogo/logo/JAIHIND.jpg"" "
508,JAI MAHARASHTRA,NEWS,Marathi English Other/Multi,0,SAHANA FILMS PRIVATE LIMITED,"""Channellogo/logo/JAIMAHARASHTRA.jpg"" "
509,JAI PARAS TV,NON-NEWS,Other/Multi,0,PARSHAVNATH MEDIA PVT. LTD.,"""Channellogo/logo/JAIPARASTV.jpg"" "
510,JAIN TV,NEWS,Hindi English,0,JAIN STUDIOS LIMITED,"""Channellogo/logo/JAINTV.jpg"" "
511,JAN TV,NEWS,Hindi English Other/Multi,0,CSL INFOMEDIA PRIVATE LIMITED,"""Channellogo/logo/JANTV.jpg"" "
512,Jan-Tantra TV,NEWS,Hindi English Other/Multi,0,SANGEET AUDIO INDIA PRIVATE LIMITED,"""Channellogo/logo/JanTantraTVearlierA1TEHELKAHIMACHALHARYANAEarlierknownasHINDUSTANLIVENEWS17.jpg"" "
513,Janam,NEWS,English Other/Multi,0,Janam Multi Media Ltd.,"""Channellogo/logo/Janam.jpg"" "
514,JANASRI,NEWS,Hindi English Punjabi,0,YASH BROADCASTING INDUSTRIES PRIVATE LIMITED,"""Channellogo/logo/JANASRI.jpg"" "
515,JANO DUNIYA,NEWS,Hindi English,0,NEESA TECHNOLOGIES PVT.LTD.,"""Channellogo/logo/JANODUNIYA.jpg"" "
516,JANTA TV,NEWS,Hindi English Other/Multi,0,HARI BHOOMI COMMUNICATIONS PVT. LIMITED (EARLIER KNOWN AS LEGEND TRAVEL&nbsp;PVT LTD),"""Channellogo/logo/JANTATV.jpg"" "
517,JEEVAN TV,NEWS,Malayalam,0,JEEVAN TELECASTING CORPORATION LIMITED,"""Channellogo/logo/JEEVANTV.jpg"" "
518,JIA News,NEWS,Gujarati English Other/Multi,0,PRABHATAM ADVERTISING PVT LTD,"""Channellogo/logo/JIANewsearlierPRABHATAMNEWSGUJARAT.jpg"" "
519,JINVANI,NON-NEWS,Hindi English,0,SEA TV NETWORK LIMITED,"""Channellogo/logo/JINVANI.jpg"" "
520,JK 24*7,NEWS,Hindi,0,News 24 Broadcast India Ltd.(Earlier known as B.A.G. GLAMOUR LIMITED),"""Channellogo/logo/JK247EarlierJKCHANNELAAPNO24BIZ24.jpg"" "
521,Jonack,NON-NEWS,Assamese,0,BRAHMAPUTRA TELE-PRODUCTIONS PRIVATE LIMITED,"""Channellogo/logo/JonackearlierDHOOMDY365ENTERTAINMENT.jpg"" "
522,K NEWS INDIA,NEWS,Hindi Bhojpuri Kumaoni Garhwali,0,ALLIANCE STRATEGIES LIMITED,"""Channellogo/logo/KNEWSINDIAearlierMAGIKBhojpuriaMagic.jpg"" "
523,KAIRALI,NEWS,Malayalam,0,MALAYALAM COMMUNICATIONS LIMITED,"""Channellogo/logo/KAIRALI.jpg"" "
524,KALAIGNAR CHITHIRAM,NON-NEWS,Tamil,0,KALAIGNAR TV PRIVATE LIMITED,"""Channellogo/logo/KALAIGNARCHITHIRAM.jpg"" "
525,KALAIGNAR ISAI ARUVI,NEWS,Tamil,0,KALAIGNAR TV PRIVATE LIMITED,"""Channellogo/logo/KALAIGNARISAIARUVI.jpg"" "
526,KALAIGNAR MURASU,NON-NEWS,Tamil,0,KALAIGNAR TV PRIVATE LIMITED,"""Channellogo/logo/KALAIGNARMURASU.jpg"" "
527,KALAIGNAR SEITHIGAL,NEWS,Tamil,0,KALAIGNAR TV PRIVATE LIMITED,"""Channellogo/logo/KALAIGNARSEITHIGAL.jpg"" "
528,KALAIGNAR SIRIPPOLI,NON-NEWS,Tamil,0,KALAIGNAR TV PRIVATE LIMITED,"""Channellogo/logo/KALAIGNARSIRIPPOLI.jpg"" "
529,KALAIGNAR TV,NEWS,Tamil,0,KALAIGNAR TV PRIVATE LIMITED,"""Channellogo/logo/KALAIGNARTV.jpg"" "
530,Kalinga TV,NEWS,Hindi English Oriya Other/Multi,0,Kalinga Media &amp; Entertainment Pvt. Ltd.,"""Channellogo/logo/KalingaTV.jpg"" "
531,KALKI KANNADA,NON-NEWS,Other/Multi,0,SRM INFOTAINMENT MEDIA PVT. LTD.,"""Channellogo/logo/KALKIKANNADAEARLIERKALVI.jpg"" "
532,Kalki TV,NON-NEWS,Hindi Bhojpuri Punjabi English Other/Multi,0,YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,"""Channellogo/logo/KalkiTVearlierSatyaveedaTVBHOJPURIATVERACHANNEL.jpg"" "
533,KANAK NEWS,NEWS,Oriya,0,EASTERN MEDIA LIMITED,"""Channellogo/logo/KANAKNEWSEarlierKANAKTVKANAKSAMBAD.jpg"" "
534,Kappa TV,NEWS,Malayalam,0,THE MATHRUBHUMI PRINTING AND PUBLISHING COMPANY LIMITED,"""Channellogo/logo/KappaTVearlierMATHRUBHUMINEWSCENTRAL.jpg"" "
535,KASHISH NEWS,NEWS,Hindi English Other/Multi,0,KASHISH DEVELOPERS LTD.,"""Channellogo/logo/KASHISHNEWS.jpg"" "
536,Kasthuri,NEWS,Kannada,0,KASTHURI MEDIAS PRIVATE LIMITED,"""Channellogo/logo/Kasthuri.jpg"" "
537,Kasthuri News 24,NEWS,Kannada,0,KASTHURI MEDIAS PRIVATE LIMITED,"""Channellogo/logo/KasthuriNews24.jpg"" "
538,KATYAYANI,NEWS,Hindi English Other/Multi,0,VEECON MEDIA AND BROADCASTING PVT LTD,"""Channellogo/logo/KATYAYANI.jpg"" "
539,KAUMUDY,NEWS,Malayalam,0,KERELA KAUMUDI PVT LTD,"""Channellogo/logo/KAUMUDY.jpg"" "
540,KAVASAM TV,NON-NEWS,Hindi Marathi,0,COXSWAIN TECHNOLOGIES LIMITED,"""Channellogo/logo/KAVASAMTVEarlierArchanaSPACETOONKIDSTV.jpg"" "
541,Kerala Vision,NON-NEWS,Malayalam English Punjabi Other/Multi,0,kerala communications cable ltd.,"""Channellogo/logo/KeralaVision.jpg"" "
542,KHABAR FAST,NEWS,Hindi English Other/Multi,0,DEVBHUMI BROADCAST PRIVATE LIMITED,"""Channellogo/logo/KHABARFAST.jpg"" "
543,KHABRAIN ABHI TAK,NEWS,Hindi Other/Multi,0,VINMEHTA FILMS PRIVATE LIMITED (Earlier known as PPALTECH COOLING TOWERS AND EQUIPMENTS LIMITED),"""Channellogo/logo/KHABRAINABHITAKABHITAK.jpg"" "
544,Khalsa Channel,NON-NEWS,Hindi,0,Nexgen Telelinks Pvt. Ltd,"""Channellogo/logo/KhalsaChannel.jpg"" "
545,KHUSBOO BANGLA,NON-NEWS,Hindi Oriya English Bengali,0,KHUSBOO MULTIMEDIA PVT. LTD.,"""Channellogo/logo/KHUSBOOBANGLA.jpg"" "
546,KHUSHI,NON-NEWS,English Hindi Other/Multi,0,MITCON INFRASPROJECT PRIVATE LIMITED,"""Channellogo/logo/KHUSHI.jpg"" "
547,KOLKATTA 24*7,NEWS,Bengali Hindi English Other/Multi,0,RP TECHVISION INDIA PRIVATE LIMITED,"""Channellogo/logo/KOLKATTA247.jpg"" "
548,KOLKATTA TV,NEWS,Bengali,0,SST MEDIA PRIVATE LIMITED,"""Channellogo/logo/KOLKATTATV.jpg"" "
549,LIFE STYLE ASIA,NON-NEWS,Hindi English Other/Multi,0,MEDIA NETWORK BROADCASTING PVT LTD,"""Channellogo/logo/LIFESTYLEASIA.jpg"" "
550,LIVE INDIA,NEWS,Hindi,0,BROADCAST INITIATIVES LIMITED,"""Channellogo/logo/LIVEINDIA.jpg"" "
551,LIVE TODAY,NEWS,Punjabi Hindi English,0,Live Today TV &amp; Web Private Limited (earlier Pavitar Entertainment Pvt Ltd),"""Channellogo/logo/LIVETODAY.jpg"" "
552,LIVING INDIA NEWS,NEWS,Hindi Other/Multi,0,BPL MEDIA LIMITED,"""Channellogo/logo/LIVINGINDIANEWSEarlierFWNewsREPORTER247.jpg"" "
553,Lord Buddha TV,NON-NEWS,Hindi English Other/Multi,0,EXCLUSIVE VISION BROADCAST PVT. LTD.,"""Channellogo/logo/LordBuddhaTVearlierLORDBUDDHASHARNAMTVEarlierSHARNAM.jpg"" "
554,Lotus News,NEWS,Hindi English Other/Multi,0,LIVE NEWS INDIA NETWORK PVT LTD,"""Channellogo/logo/LotusNewsEarlierknownasNATIONNEWS.jpg"" "
555,Madha TV,NON-NEWS,Tamil English,0,MADHA MEDIA RENAISSANCE PVT. LTD. (Earlier Krishnaswamy Associates Media Renaissance Pvt. Ltd. (Earlier known as KRISHNASWAMY ASSOCIATES MEDIA RENAISSANCE),"""Channellogo/logo/MadhaTVearlierKRISHANATV.jpg"" "
556,MAHA MOVIE,NON-NEWS,Hindi English Other/Multi,0,TELEONE CONSUMERS PRODUCT PVT. LTD.,"""Channellogo/logo/MAHAMOVIE.jpg"" "
557,MAHAA NEWS,NEWS,Telugu Hindi Other/Multi,0,MONICA BROADCASTING PRIVATE LIMITED,"""Channellogo/logo/MAHAANEWSMAHAATV.jpg"" "
558,MAHARASHTRA 1,NEWS,Hindi,0,SHARP EYE ADVERTISING PRIVATE LIMITED,"""Channellogo/logo/MAHARASHTRA1EarlierSADHANANEWSUTTARAKHANDHIMACHALPRADESH.jpg"" "
559,Mahua Plus,NON-NEWS,Telugu Hindi English Gujarati Tamil Kannada Bengali Malayalam,0,AADRI ENTERTAINMENT AND MEDIA WORKS PVT.LTD.,"""Channellogo/logo/MahuaPlusearlierAGROROYALTVEarlierAADRIWELLNESS.jpg"" "
560,MAHUAA,NEWS,Bhojpuri Hindi,0,MAHUAA MEDIA PRIVATE LIMITED,"""Channellogo/logo/MAHUAA.jpg"" "
561,MAHUAA MOVIES,NON-NEWS,Bhojpuri Hindi English,0,MAHUAA MEDIA PRIVATE LIMITED,"""Channellogo/logo/MAHUAAMOVIES.jpg"" "
562,MAHUAA MUSIC,NON-NEWS,Bhojpuri Hindi,0,MAHUAA MEDIA PRIVATE LIMITED,"""Channellogo/logo/MAHUAAMUSICMAHUAANEWSLINEUTTARPRADESHUTTRAKHANDEARLIERMAHUAABANGLA.jpg"" "
563,MAHUAA NEWS,NEWS,Bhojpuri Hindi,0,MAHUAA MEDIA PRIVATE LIMITED,"""Channellogo/logo/MAHUAANEWS.jpg"" "
564,Maiboli,NON-NEWS,Hindi,0,MPCR BROADCASTING SERVICE PRIVATE LIMITED,"""Channellogo/logo/MaiboliearlierDHAMAKAAAPNATV.jpg"" "
565,MAKKAL TV,NEWS,Tamil English,0,MAKKAL THOLAI THODARPU KUZHUMAM LIMITED,"""Channellogo/logo/MAKKALTV.jpg"" "
