Sl. No,Name,Genre,Language,Price,Broadcaster,Image
277,UTV Movies,Movies,Hindi,2,Disney Broadcasting (India) Limited,"""Channellogo/logo/UTVMovies.jpg"" "
278,VH 1,Music,English,1,TV 18 Broadcast Ltd.,"""Channellogo/logo/VH1.jpg"" "
279,VH 1 HD,Music,English,2,TV 18 Broadcast Ltd.,"""Channellogo/logo/VH1HDDistribution.jpg"" "
280,Vijay HD,GEC,Tamil,19,STAR India Private Limited,"""Channellogo/logo/VijayHD.jpg"" "
281,Vijay Super,GEC,Tamil,2,STAR India Private Limited,"""Channellogo/logo/VijaySuper.jpg"" "
282,Vijay TV,GEC,Tamil,17,STAR India Private Limited,"""Channellogo/logo/VijayTV.jpg"" "
283,Vissa TV,GEC,Telugu,0.5,Raj Television Network Limited,"""Channellogo/logo/VissaTV.jpg"" "
284,WB,Movies,English,1,Turner International Pvt Ltd.,"""Channellogo/logo/WB.jpg"" "
285,WION,News,Hindi,1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/WION.jpg"" "
286,Zee 24 Kalak,News,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/Zee24Kalak.jpg"" "
287,Zee 24 Taas,News,Marathi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/Zee24Taas.jpg"" "
288,Zee Action,Movies,Hindi,1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeAction.jpg"" "
289,Zee Anmol,GEC,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeAnmol.jpg"" "
290,Zee Anmol Cinema,Movies,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeAnmolCinema.jpg"" "
291,Zee Bangla,GEC,Bangla,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeBangla.jpg"" "
292,Zee Bangla Cinema,Movies,Bangla,5,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeBanglaCinema.jpg"" "
293,Zee Bangla HD,GEC,Bangla,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeBanglaHD.jpg"" "
294,Zee Bihar Jharkhand,News,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeBiharJharkhand.jpg"" "
295,Zee Bollywood,Movies,Hindi,2,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeBollywood.jpg"" "
296,Zee Business,News,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeBusiness.jpg"" "
297,Zee Cafe,GEC,English,15,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeCaf.jpg"" "
298,Zee Cafe HD,GEC,English,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeCafHD.jpg"" "
299,Zee Cinema,Movies,Hindi,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeCinema.jpg"" "
300,Zee Cinema HD,Movies,Hindi,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeCinemaHD.jpg"" "
301,Zee Cinemalu,Movies,Telugu,10,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeCinemalu.jpg"" "
302,Zee Cinemalu HD,Movies,Telugu,16,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeCinemaluHD.jpg"" "
303,Zee ETC,Music,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeETC.jpg"" "
304,Zee Hindustan,News,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeHindustan.jpg"" "
305,Zee Kannada,GEC,Kannada,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeKannada.jpg"" "
306,Zee Kannada HD,GEC,Kannada,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeKannadaHD.jpg"" "
307,Zee Keralam,GEC,Malayalam,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeKeralam.jpg"" "
308,Zee Keralam HD,GEC,Malayalam,8,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeKeralamHD.jpg"" "
309,Zee Madhya Pradesh Chattisgarh,News,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeMadhyaPradeshChattisgarh.jpg"" "
310,Zee Marathi,GEC,Marathi,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeMarathi.jpg"" "
311,Zee Marathi HD,GEC,Marathi,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeMarathiHD.jpg"" "
312,Zee News,News,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeNews.jpg"" "
313,Zee Odisha,News,Odia,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeOdisha.jpg"" "
314,Zee Punjab Haryana Himachal,News,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeePunjabHaryanaHimachal.jpg"" "
315,Zee Rajasthan News,News,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeRajasthanNews.jpg"" "
316,Zee Salaam,News,Urdu,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeSalaam.jpg"" "
317,Zee Talkies,Movies,Marathi,12,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeTalkies.jpg"" "
318,Zee Talkies HD,Movies,Marathi,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeTalkiesHD.jpg"" "
319,Zee Tamil,GEC,Tamil,12,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeTamil.jpg"" "
320,Zee Tamil HD,GEC,Tamil,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeTamilHD.jpg"" "
321,Zee Telugu,GEC,Telugu,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeTelugu.jpg"" "
322,Zee Telugu HD,GEC,Telugu,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeTeluguHD.jpg"" "
323,Zee TV,GEC,Hindi,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeTV.jpg"" "
324,Zee TV HD,GEC,Hindi,19,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeTVHD.jpg"" "
325,Zee Uttar Pradesh Uttrakhand,News,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeUttarPradeshUttrakhand.jpg"" "
326,Zee Yuva,GEC,Marathi,4,Zee Entertainment Enterprises Limited,"""Channellogo/logo/ZeeYuva.jpg"" "
327,Zing,Music,Hindi,0.1,Zee Entertainment Enterprises Limited,"""Channellogo/logo/Zing.jpg"" "
328,Zoom,GEC,Hindi,0.5,"Bennett, Coleman &amp; Company Limited (Times Network)","""Channellogo/logo/Zoom.jpg"" "
329,10 TV,NEWS,Telugu English Other/Multi,0,Spoorthi Communication Pvt. Ltd.,"""Channellogo/logo/10TV.jpg"" "
330,1SPORTS,NON-NEWS,Hindi English,0,Lex Sportel Vision Pvt. Limited,"""Channellogo/logo/1SPORTSEARLIERATR.jpg"" "
331,1st India Rajasthan,NEWS,Marathi Gujarati Hindi,0,TRANSMEDIA SOFTWARE LIMITED,"""Channellogo/logo/1stIndiaRajasthanearlierTRANSMEDIANEWS.jpg"" "
332,1ST NEWS,NEWS,Other/Multi,0,Total Telefilms Pvt. Ltd,"""Channellogo/logo/1STNEWSearlierknownasSobarrageANMNewsTotalRajasthan.jpg"" "
333,4TV NEWS,NEWS,Hindi English Other/Multi,0,FAME MEDIA PRIVATE LIMITED,"""Channellogo/logo/4TVNEWSEarlierRVSNewsRUDRNEWS.jpg"" "
334,7S Music,NON-NEWS,Other/Multi,0,Gokann International Media Pvt. Ltd,"""Channellogo/logo/7SMusicEarlierMAASTV.jpg"" "
335,99 Percent,NEWS,Punjabi Hindi English Other/Multi,0,SKY NEWS MEDIA PRIVATE LIMITED,"""Channellogo/logo/99PercentearlierCHANNELNO3.jpg"" "
336,9X,NON-NEWS,Hindi,0,9X MEDIA PRIVATE LIMITED,"""Channellogo/logo/9X.jpg"" "
337,9X JALWA,NON-NEWS,Hindi English Bengali Other/Multi,0,9X MEDIA PRIVATE LIMITED,"""Channellogo/logo/9XJALWAPHIRSE9X.jpg"" "
338,9X JHAKAAS,NON-NEWS,Marathi,0,9X MEDIA PRIVATE LIMITED,"""Channellogo/logo/9XJHAKAAS9XMARATHI.jpg"" "
339,9X TASHAN,NON-NEWS,Punjabi,0,PAUL ENTERTAINMENT PRIVATE LIMITED,"""Channellogo/logo/9XTASHANPURVAIYA.jpg"" "
340,9XM,NON-NEWS,Hindi English Bengali Other/Multi,0,9X MEDIA PRIVATE LIMITED,"""Channellogo/logo/9XM.jpg"" "
341,9XO,NON-NEWS,Hindi,0,9X MEDIA PRIVATE LIMITED,"""Channellogo/logo/9XO9XMVELVET.jpg"" "
